"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95","exposure_tissue"
"50",50,"k3321j","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EGFR","Wald ratio",1,0.179379140672936,0.0300385496851353,2.34893040721707e-09,"Adult Cortex",0.120503583290071,0.238254698055801,1.19647429025112,1.12806478314186,1.26903237174447,"EGFR-Adult Cortex"
"51",51,"L0yCqS","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LINC02210","Wald ratio",1,-0.0874211608997191,0.0159243006843354,4.02398415883791e-08,"Adult Cortex",-0.118632790241016,-0.0562095315584217,0.91629110836988,0.888133872315156,0.945341036356481,"LINC02210-Adult Cortex"
"52",52,"OkBk8U","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.239793801757701,0.0443761025324098,6.52911168008522e-08,"Adult Cortex",0.152816640794178,0.326770962721224,1.27098704800453,1.16511132546834,1.38648388431546,"EPHX2-Adult Cortex"
"53",53,"Q09F41","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","INO80E","Wald ratio",1,0.139109024089336,0.0257724308022653,6.75418592137842e-08,"Adult Cortex",0.088595059716896,0.189622988461776,1.14924938904178,1.09263811354365,1.20879378253552,"INO80E-Adult Cortex"
"54",54,"slMtXu","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN26","Wald ratio",1,-0.0966083712344737,0.0180864987242622,9.21992253525788e-08,"Adult Cortex",-0.132057908734028,-0.0611588337349198,0.907911500778021,0.876290248751114,0.940673817173926,"ZSCAN26-Adult Cortex"
"55",55,"uLAXa4","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF192P2","Wald ratio",1,-0.0622134037191236,0.0131727359915491,2.32514835105455e-06,"Adult Cortex",-0.0880319662625598,-0.0363948411756874,0.939682333687657,0.915731603738575,0.964259488959129,"ZNF192P2-Adult Cortex"
"56",56,"usbO7j","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NDUFAF6","Wald ratio",1,0.160753432916653,0.0292607372275256,3.93315442545246e-08,"Adult Cortex",0.103402387950703,0.218104477882603,1.174395365872,1.1089375424158,1.24371700175022,"NDUFAF6-Adult Cortex"
"57",57,"ve8CvL","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF45","Wald ratio",1,-0.102151185301992,0.0228722350928703,7.9634047113802e-06,"Adult Cortex",-0.146980766084018,-0.0573216045199662,0.902893037193151,0.863310582099835,0.944290332488476,"ZNF45-Adult Cortex"
"58",58,"vtaHEE","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ICA1L","Wald ratio",1,0.230906646035468,0.0454988465094517,3.87496001553072e-07,"Adult Cortex",0.141728906876943,0.320084385193993,1.25974163208412,1.15226423528225,1.37724397843281,"ICA1L-Adult Cortex"
"59",59,"yjUadr","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.0858640199270442,0.0182135799845245,2.42560114265344e-06,"Adult Cortex",-0.121562636696712,-0.0501654031573762,0.917719014234466,0.885535584587856,0.95107210116176,"KAT8-Adult Cortex"
