"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95"
"86","lJ6vLt","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-196G11.2","Wald ratio",1,-0.101607905,0.022699638,7.6e-06,"Artery - Coronary",-0.14609919548,-0.05711661452,0.903383694465211,0.864071986897884,0.944483922405022
"87","n3E7rX","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","WNT3","Wald ratio",1,-0.091877053,0.018453108,6.39e-07,"Artery - Coronary",-0.12804514468,-0.05570896132,0.912217297030869,0.879813659341971,0.945814364401523
"88","Ow09E1","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-E","Wald ratio",1,0.177392644,0.037668561,2.49e-06,"Artery - Coronary",0.10356226444,0.25122302356,1.19409985723675,1.10911484963018,1.28559677072963
"89","Ow3OIK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.152998841,0.028049788,4.91e-08,"Artery - Coronary",0.09802125652,0.20797642548,1.16532362833187,1.10298623050819,1.2311841446315
"90","P0UEFu","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHGP","Wald ratio",1,-0.172880658,0.035844981,1.41e-06,"Artery - Coronary",-0.24313682076,-0.10262449524,0.841238003880049,0.784164216487411,0.902465790063822
"91","PbPPBF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A","Wald ratio",1,-0.072812646,0.013901847,1.63e-07,"Artery - Coronary",-0.10006026612,-0.04556502588,0.929775010775922,0.904782888638698,0.955457471089039
"92","PeaGyB","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTSH","Wald ratio",1,0.107172245,0.023699879,6.12e-06,"Artery - Coronary",0.06072048216,0.15362400784,1.11312596835039,1.06260185649696,1.16605237779344
"93","TfuEfo","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SCIMP","Wald ratio",1,0.269592773,0.038828936,3.84e-12,"Artery - Coronary",0.19348805844,0.34569748756,1.30943110644334,1.2134748956817,1.41297510861005
"94","UrO9RO","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DRB9","Wald ratio",1,-0.072168272,0.016056577,6.97e-06,"Artery - Coronary",-0.10363916292,-0.04069738108,0.930374326689775,0.901550551604304,0.960119636356639
"95","vACmI3","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","INO80E","Wald ratio",1,0.141272104,0.023593305,2.13e-09,"Artery - Coronary",0.0950292262,0.1875149818,1.1517379978671,1.09969099444539,1.2062483210567
"96","vcwiGe","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PLD2","Wald ratio",1,0.190958501,0.039601236,1.42e-06,"Artery - Coronary",0.11334007844,0.26857692356,1.21040922026679,1.12001276038165,1.30810159699219
"97","Wa28qL","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IRF2BP1","Wald ratio",1,0.272230561,0.047927916,1.35e-08,"Artery - Coronary",0.17829184564,0.36616927636,1.31288966757289,1.19517407668427,1.44219935224968
"98","wqyjzQ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHV2-70","Wald ratio",1,0.131014287,0.028398361,3.96e-06,"Artery - Coronary",0.07535349944,0.18667507456,1.13998406814803,1.07826524968349,1.20523560970994
"99","WREcu3","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MAPK8IP1P2","Wald ratio",1,-0.045019221,0.008080373,2.53e-08,"Artery - Coronary",-0.06085675208,-0.02918168992,0.955979106782096,0.940958020401487,0.971239983919743
"100","X3HhtW","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NECTIN2","Wald ratio",1,0.458167036,0.038972209,6.56e-32,"Artery - Coronary",0.38178150636,0.53455256564,1.58117309383337,1.46489198058278,1.70668444213066
"101","YB8Egl","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN26","Wald ratio",1,-0.150227204,0.028189086,9.86e-08,"Artery - Coronary",-0.20547781256,-0.09497659544,0.860512442343886,0.814258160670817,0.909394218190706
"102","yfHOLU","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ATP8B3","Wald ratio",1,0.123844824,0.023825858,2.02e-07,"Artery - Coronary",0.07714614232,0.17054350568,1.13184022293291,1.08019992778145,1.1859492463399
"103","Z1oP4L","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","DND1P1","Wald ratio",1,-0.039905857,0.00776165,2.73e-07,"Artery - Coronary",-0.055118691,-0.024693023,0.960879895010319,0.946372815351354,0.975609355698006
"104","z2ey3l","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SNX31","Wald ratio",1,0.050831037,0.009180936,3.08e-08,"Artery - Coronary",0.03283640244,0.06882567156,1.05214510467046,1.03338146672525,1.07124944362519
